date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:18	96/96	---MCZ	200	added ('OK')	text/plain	date:Fri,%2006%20Jan%202017%2019:29:18%20GMT	http://lasthaiku.wikidot.com/robots.txt		(from )
14:29:18	18468/18468	---MCZ	200	added ('OK')	text/html	etag:%2259ca46a90b26b227c0d0198b3cbebb05%22	http://lasthaiku.wikidot.com/	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/index.html	(from )
14:29:23	62098/62098	---M-Z	200	added ('OK')	application/javascript	etag:%2266a36b43dfe1c723e68265d1d4f676f9%22	http://d3g0gp89917ko0.cloudfront.net/v--edac79f846ba/common--javascript/WIKIDOT.combined.js	C:/My%20Web%20Sites/l5r/d3g0gp89917ko0.cloudfront.net/v--edac79f846ba/common--javascript/WIKIDOT.combined.js	(from http://lasthaiku.wikidot.com/)
14:29:24	56696/56696	---M-Z	200	added ('OK')	text/css	etag:%223abd995cea99216e8cf830f445a4cee3%22	http://d3g0gp89917ko0.cloudfront.net/v--edac79f846ba/common--theme/base/css/style.css	C:/My%20Web%20Sites/l5r/d3g0gp89917ko0.cloudfront.net/v--edac79f846ba/common--theme/base/css/style.css	(from http://lasthaiku.wikidot.com/)
14:29:25	347266/347266	---M-Z	200	added ('OK')	application/javascript	etag:%2278a6fb63cb1ed345bd3dc59ae9660e90%22	http://d3g0gp89917ko0.cloudfront.net/v--edac79f846ba/common--javascript/init.combined.js	C:/My%20Web%20Sites/l5r/d3g0gp89917ko0.cloudfront.net/v--edac79f846ba/common--javascript/init.combined.js	(from http://lasthaiku.wikidot.com/)
14:29:26	6238/6238	---MCZ	200	added ('OK')	text/css	etag:%224548ca7073a7de7cf22d58faa16de09f%22	http://lasthaiku.wdfiles.com/local--theme/mine/style.css	C:/My%20Web%20Sites/l5r/lasthaiku.wdfiles.com/local--theme/mine/style.css	(from http://lasthaiku.wikidot.com/)
14:29:28	136/136	---M--	200	added ('OK')	image/gif	date:Wed,%2030%20Nov%202016%2007:09:37%20GMT	http://lasthaiku.wikidot.com/local--favicon/favicon.gif	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/local--favicon/favicon.gif	(from http://lasthaiku.wikidot.com/)
14:29:30	2715/2715	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Nov%202016%2007:09:28%20GMT	http://lasthaiku.wikidot.com/common--images/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/common--images/apple-touch-icon-57x57.png	(from http://lasthaiku.wikidot.com/)
14:29:32	3384/3384	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Nov%202016%2007:09:28%20GMT	http://lasthaiku.wikidot.com/common--images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/common--images/apple-touch-icon-72x72.png	(from http://lasthaiku.wikidot.com/)
14:29:33	5455/5455	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Nov%202016%2007:09:49%20GMT	http://lasthaiku.wikidot.com/common--images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/common--images/apple-touch-icon-114x114.png	(from http://lasthaiku.wikidot.com/)
14:29:34	18468/18468	---MCZ	200	added ('OK')	text/html	etag:%221f63317ec543758fc09c6f3f111c4fdf%22	http://lasthaiku.wikidot.com/start	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/start.html	(from http://lasthaiku.wikidot.com/)
14:29:34	15700/15700	---MCZ	200	added ('OK')	text/html	etag:%22bc4c0ce1a0b8f04c6f112dba34522e8f%22	http://lasthaiku.wikidot.com/book-of-air	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/book-of-air.html	(from http://lasthaiku.wikidot.com/)
14:29:36	76636/76636	---MCZ	200	added ('OK')	text/html	etag:%22ad14e2d68116f03184a58a838c9f9908%22	http://lasthaiku.wikidot.com/history	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/history.html	(from http://lasthaiku.wikidot.com/)
14:29:36	35470/35470	---MCZ	200	added ('OK')	text/html	etag:%221824e3a04ae6e513660305da0d69264e%22	http://lasthaiku.wikidot.com/religion	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/religion.html	(from http://lasthaiku.wikidot.com/)
14:29:38	39707/39707	---MCZ	200	added ('OK')	text/html	etag:%22217f3b46bc4b75e569135bf5cfb0e8e6%22	http://lasthaiku.wikidot.com/bushido	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/bushido.html	(from http://lasthaiku.wikidot.com/)
14:29:39	25928/25928	---MCZ	200	added ('OK')	text/html	etag:%22d6aeebee5254f336e4e28ffd01a6ddee%22	http://lasthaiku.wikidot.com/people	C:/My%20Web%20Sites/l5r/lasthaiku.wikidot.com/people.html	(from http://lasthaiku.wikidot.com/)
